zipf = 1  ctx = 0.0------------------------------------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型
44,2971749216933,2971749223455,6522,普通
45,2971749221018,2971749318162,97143,普通
46,2971749221190,2971749318709,97518,普通
47,2971749221763,2971749319682,97918,普通
48,2971749226865,2971749323890,97024,普通
49,2971749318344,2971749340277,21933,普通
50,2971749318973,2971749341752,22779,普通
51,2971749321635,2971749493975,172340,普通
52,2971749329208,2971749494722,165513,普通
53,2971749340496,2971749496436,155939,普通
54,2971749472926,2971749504041,31114,普通
55,2971749494173,2971749657042,162868,普通
56,2971749504141,2971749659632,155491,普通
57,2971749496642,2971749673854,177211,普通
58,2971749504716,2971749674606,169889,普通
59,2971749657186,2971749824064,166878,普通
60,2971749664827,2971749828577,163750,普通
61,2971749673959,2971749836269,162309,普通
62,2971749821636,2971749840632,18995,普通
63,2971749824333,2971749982508,158175,普通
64,2971749828711,2971749984064,155353,普通
65,2971749836440,2971749985472,149031,普通
66,2971749979586,2971749993494,13907,普通
67,2971749982657,2971750126517,143859,普通
68,2971749984222,2971750127103,142880,普通
69,2971749986358,2971750127320,140962,普通
70,2971749993632,2971750128178,134545,普通
71,2971750126743,2971750256564,129820,普通
72,2971750127356,2971750258303,130946,普通
73,2971750127571,2971750267080,139508,普通
74,2971750128635,2971750268036,139400,普通
75,2971750256821,2971750270324,13503,普通
76,2971750258662,2971750386010,127348,普通
77,2971750267633,2971750397386,129752,普通
78,2971750385830,2971750398517,12686,普通
79,2971750270558,2971750516113,245554,普通
80,2971750387509,2971750516961,129452,普通
81,2971750397830,2971750517072,119242,普通
82,2971750401596,2971750518225,116629,普通
83,2971750516410,2971750662460,146049,普通
84,2971750517227,2971750663242,146014,普通
85,2971750517319,2971750663718,146399,普通
86,2971750519577,2971750664226,144649,普通
87,2971750662925,2971750841612,178687,普通
88,2971750663651,2971750841928,178276,普通
89,2971750664355,2971750844126,179771,普通
90,2971750664609,2971750847667,183057,普通
91,2971750841830,2971750857384,15553,普通
92,2971750842249,2971750988892,146642,普通
93,2971750844258,2971750989339,145080,普通
94,2971750847789,2971750989905,142116,普通
95,2971750857546,2971750994323,136776,普通
96,2971750989145,2971751112677,123532,普通
97,2971750989634,2971751128821,139186,普通
98,2971750990286,2971751129470,139183,普通
99,2971750994475,2971751130106,135630,普通
100,2971751112799,2971751313189,200390,普通

=== 执行统计 ===
第一笔交易开始时间: 2971747849137 微秒
最后一笔交易完成时间: 2971751313189 微秒
前100笔交易总执行时间(包含跨链延迟): 3464052 微秒
前100笔交易总执行时间(不含跨链延迟): 3464052 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2971749310688,2971749343796,33108,普通
2,2971749310819,2971749344911,34091,普通
3,2971749310669,2971749345534,34864,普通
4,2971749310944,2971749345656,34712,普通
5,2971749343992,2971749479293,135301,普通
6,2971749345769,2971749515733,169964,普通
7,2971749345920,2971749516032,170112,普通
8,2971749346023,2971749517217,171194,普通
9,2971749479694,2971749517784,38090,普通
10,2971749515947,2971749671438,155490,普通
11,2971749516154,2971749671479,155325,普通
12,2971749518983,2971749672435,153452,普通
13,2971749664290,2971749828675,164385,普通
14,2971749671726,2971749841594,169867,普通
15,2971749671976,2971749843035,171059,普通
16,2971749672649,2971749843607,170958,普通
17,2971749828861,2971750031514,202652,普通
18,2971749841719,2971750032877,191158,普通
19,2971749843191,2971750043477,200285,普通
20,2971749843869,2971750044484,200614,普通
21,2971750032192,2971750044644,12451,普通
22,2971750033280,2971750193921,160640,普通
23,2971750043635,2971750196137,152501,普通
24,2971750046218,2971750197046,150827,普通
25,2971750046279,2971750197539,151259,普通
26,2971750194480,2971750295582,101101,普通
27,2971750196328,2971750323347,127018,普通
28,2971750197608,2971750323985,126377,普通
29,2971750197793,2971750325862,128069,普通
30,2971750295735,2971750326477,30742,普通
31,2971750323575,2971750428156,104580,普通
32,2971750324448,2971750433978,109529,普通
33,2971750326092,2971750440361,114268,普通
34,2971750327057,2971750441307,114249,普通
35,2971750428706,2971750565627,136920,普通
36,2971750434191,2971750577624,143433,普通
37,2971750440550,2971750723921,283371,普通
38,2971750562983,2971750725898,162914,普通
39,2971750565798,2971750727144,161345,普通
40,2971750577795,2971750727298,149503,普通
41,2971750724182,2971750736854,12671,普通
42,2971750726025,2971750737366,11340,普通
43,2971750727781,2971750737869,10087,普通
44,2971750727784,2971750846644,118860,普通
45,2971750737080,2971750857059,119979,普通
