zipf = 0.8 ctx = 0.0----------------------------------------------------------


交易ID,开始时间,完成时间,延迟(微秒),类型
87,3044093544616,3044094257915,713299,普通
88,3044093782498,3044094257921,475422,普通
89,3044093954316,3044094257929,303612,普通
90,3044093967626,3044094714853,747227,普通
91,3044094269170,3044094748501,479331,普通
92,3044094269365,3044095106168,836802,普通
93,3044094269851,3044095106171,836320,普通
94,3044094741469,3044095599411,857942,普通
95,3044094932798,3044095600932,668133,普通
96,3044095108963,3044095604039,495076,普通
97,3044095243936,3044095604055,360118,普通
98,3044095604405,3044096317147,712742,普通
99,3044095604808,3044096317150,712342,普通
100,3044095605725,3044096317240,711514,普通

=== 执行统计 ===
第一笔交易开始时间: 3044081200191 微秒
第100笔交易完成时间: 3044096317240 微秒
前100笔交易总执行时间(包含跨链延迟): 15117048 微秒
前100笔交易总执行时间(不含跨链延迟): 15117048 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,3044082528741,3044082919816,391075,普通
2,3044082528895,3044082919896,391000,普通
3,3044082529536,3044082924882,395345,普通
4,3044082530044,3044082924886,394842,普通
5,3044082921502,3044083440578,519076,普通
6,3044082921855,3044083554080,632225,普通
7,3044082926296,3044083554435,628138,普通
8,3044082928491,3044083554439,625947,普通
9,3044083444538,3044083555548,111009,普通
10,3044083564078,3044083972589,408511,普通
11,3044083557480,3044083972594,415114,普通
12,3044083565145,3044083972598,407452,普通
13,3044083565428,3044083972698,407270,普通
14,3044084137350,3044084473617,336266,普通
15,3044084137715,3044084473622,335907,普通
16,3044084138169,3044084474130,335960,普通
17,3044084138132,3044084474140,336007,普通
18,3044084474120,3044084849365,375245,普通
19,3044084474672,3044084858154,383481,普通
20,3044084474803,3044085197454,722650,普通
21,3044084575084,3044085204114,629029,普通
22,3044084849746,3044085204176,354429,普通
23,3044084858494,3044085205961,347466,普通
24,3044085197867,3044085350049,152181,普通
25,3044085205625,3044085737015,531390,普通
26,3044085351959,3044085737063,385104,普通
27,3044085350501,3044085737067,386566,普通
28,3044085360305,3044085867541,507235,普通
29,3044085859181,3044086232972,373790,普通
30,3044085858974,3044086236196,377221,普通
31,3044085859426,3044086237533,378107,普通
32,3044085873783,3044086237537,363754,普通
33,3044086233530,3044086657122,423591,普通
34,3044086365417,3044086663037,297620,普通
35,3044086370787,3044086815008,444220,普通
