zipf_= 0.8 ctx = 0.0----------------------------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型,区块ID,总延迟(微秒),是否中止
77,3033996698817,3033996796064,97247,普通,1,1892973,0
80,3033996790409,3033996802421,12011,普通,1,1899329,0
79,3033996787449,3033996876415,88965,普通,1,1973324,0
83,3033996802681,3033996881901,79220,普通,1,1978810,0
81,3033996792327,3033996883655,91327,普通,1,1980563,0
82,3033996796387,3033996938936,142549,普通,1,2035844,0
85,3033996882142,3033996938997,56855,普通,1,2035906,0
88,3033996939457,3033996952489,13031,普通,1,2049397,0
86,3033996942392,3033997061494,119101,普通,1,2158403,0
84,3033996938884,3033997064152,125268,普通,1,2161061,0
89,3033997063123,3033997074163,11039,普通,1,2171071,0
90,3033997061761,3033997191848,130087,普通,1,2288757,0
87,3033997063530,3033997199110,135579,普通,1,2296019,0
92,3033997074523,3033997200094,125571,普通,1,2297003,0
91,3033997064421,3033997200124,135703,普通,1,2297033,0
95,3033997200317,3033997208842,8525,普通,1,2305750,0
93,3033997192117,3033997299529,107411,普通,1,2396437,0
97,3033997209118,3033997300348,91229,普通,1,2397257,0
96,3033997200366,3033997304076,103709,普通,1,2400984,0
99,3033997300583,3033997310011,9427,普通,1,2406919,0
94,3033997199483,3033997404247,204764,普通,1,2501156,0
101,3033997310336,3033997410704,100367,普通,1,2507613,0
98,3033997299809,3033997413724,113914,普通,1,2510633,0
299,3034004932809,3034004932809,0,普通,2,10029718,1

=== 执行统计 ===
第一笔交易开始时间: 3033994903091 微秒
最后一笔交易完成时间: 3033997413724 微秒
前100笔交易总执行时间(包含跨链延迟): 2510633 微秒
前100笔交易总执行时间(不含跨链延迟): 2510633 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型,区块ID,总延迟(微秒),是否中止
2,3034003747426,3034003760103,12676,普通,1,12676,0
1,3034003747543,3034003765419,17876,普通,1,17993,0
3,3034003747543,3034003767726,20183,普通,1,20300,0
4,3034003747582,3034003769144,21561,普通,1,21718,0
5,3034003760564,3034003880186,119622,普通,1,132760,0
7,3034003767973,3034003888592,120619,普通,1,141166,0
9,3034003880485,3034003891504,11019,普通,1,144078,0
6,3034003765844,3034003895198,129353,普通,1,147771,0
8,3034003769557,3034003981342,211784,普通,1,233916,0
11,3034003891749,3034003985098,93348,普通,1,237671,0
10,3034003888846,3034003993450,104604,普通,1,246024,0
12,3034003895475,3034003993467,97992,普通,1,246041,0
16,3034003993753,3034004111045,117292,普通,1,363619,0
14,3034003985341,3034004112963,127622,普通,1,365537,0
17,3034004111332,3034004117976,6643,普通,1,370550,0
15,3034003993699,3034004118631,124931,普通,1,371205,0
13,3034003981608,3034004120388,138779,普通,1,372961,0
21,3034004120645,3034004244865,124220,普通,1,497439,0
20,3034004118882,3034004246365,127482,普通,1,498939,0
19,3034004118230,3034004247854,129623,普通,1,500428,0
18,3034004113261,3034004248943,135682,普通,1,501516,0
22,3034004245914,3034004251274,5359,普通,1,503848,0
23,3034004246636,3034004373979,127342,普通,1,626553,0
26,3034004251520,3034004374658,123138,普通,1,627232,0
25,3034004249183,3034004376456,127272,普通,1,629030,0
24,3034004248183,3034004455586,207402,普通,1,708160,0
27,3034004457110,3034004459756,2645,普通,1,712330,0
29,3034004456309,3034004469971,13662,普通,1,722545,0
28,3034004374988,3034004471112,96124,普通,1,723686,0
31,3034004460139,3034004584037,123898,普通,1,836611,0
30,3034004455821,3034004587197,131376,普通,1,839771,0
33,3034004582554,3034004589806,7251,普通,1,842380,0
36,3034004592891,3034004595513,2621,普通,1,848087,0
32,3034004470254,3034004598006,127751,普通,1,850579,0
37,3034004595765,3034004684396,88630,普通,1,936970,0
35,3034004587591,3034004688467,100875,普通,1,941041,0
34,3034004584272,3034004694894,110622,普通,1,947468,0
39,3034004684665,3034004802389,117723,普通,1,1054963,0
38,3034004692431,3034004803447,111015,普通,1,1056021,0
40,3034004688726,3034004805942,117215,普通,1,1058516,0
44,3034004806191,3034004931551,125359,普通,1,1184124,0
45,3034004931868,3034004936170,4301,普通,1,1188743,0
43,3034004813750,3034004940635,126885,普通,1,1193209,0
47,3034004940864,3034004945440,4576,普通,1,1198014,0
42,3034004802634,3034005038474,235839,普通,1,1291048,0
41,3034004932605,3034005046468,113862,普通,1,1299041,0
48,3034004945679,3034005050110,104430,普通,1,1302684,0
50,3034005047126,3034005145963,98836,普通,1,1398536,0
51,3034005050357,3034005148338,97981,普通,1,1400912,0
49,3034005139679,3034005149771,10092,普通,1,1402345,0
46,3034005042598,3034005217962,175364,普通,1,1470536,0
54,3034005150014,3034005226679,76664,普通,1,1479252,0
53,3034005221791,3034005231930,10138,普通,1,1484503,0
52,3034005146379,3034005236822,90442,普通,1,1489396,0
55,3034005218267,3034005321133,102865,普通,1,1573706,0
56,3034005226930,3034005324495,97565,普通,1,1577069,0
57,3034005232170,3034005325471,93301,普通,1,1578045,0
60,3034005325345,3034005335755,10410,普通,1,1588329,0
61,3034005325697,3034005418803,93106,普通,1,1671377,0
58,3034005237073,3034005420625,183552,普通,1,1673199,0
62,3034005417904,3034005426249,8344,普通,1,1678822,0
59,3034005331303,3034005431066,99763,普通,1,1683640,0
65,3034005426524,3034005518230,91705,普通,1,1770803,0
64,3034005420889,3034005520017,99128,普通,1,1772591,0
63,3034005419044,3034005520574,101530,普通,1,1773148,0
67,3034005518492,3034005531283,12791,普通,1,1783857,0
69,3034005521191,3034005619179,97987,普通,1,1871752,0
66,3034005529099,3034005623943,94843,普通,1,1876517,0
70,3034005531907,3034005624877,92969,普通,1,1877451,0
71,3034005619836,3034005628905,9069,普通,1,1881479,0
68,3034005520299,3034005632800,112500,普通,1,1885373,0
72,3034005624882,3034005717108,92225,普通,1,1969681,0
75,3034005633042,3034005869238,236196,普通,1,2121812,0
76,3034005729490,3034005869731,140240,普通,1,2122305,0
73,3034005864126,3034005962434,98308,普通,1,2215008,0
74,3034005959111,3034005971820,12709,普通,1,2224394,0
77,3034005869523,3034005974405,104882,普通,1,2226979,0
79,3034005962835,3034006043853,81018,普通,1,2296427,0
78,3034005963127,3034006046739,83612,普通,1,2299313,0
82,3034006044093,3034006055591,11498,普通,1,2308165,0
80,3034005972068,3034006059833,87765,普通,1,2312406,0
81,3034005974754,3034006141773,167019,普通,1,2394347,0
85,3034006060092,3034006143509,83417,普通,1,2396083,0
83,3034006133927,3034006215311,81384,普通,1,2467884,0
87,3034006143769,3034006216545,72776,普通,1,2469119,0
86,3034006142074,3034006224614,82540,普通,1,2477188,0
89,3034006216904,3034006330852,113948,普通,1,2583426,0
88,3034006215630,3034006333645,118015,普通,1,2586219,0
84,3034006231004,3034006337353,106348,普通,1,2589927,0
91,3034006331446,3034006453692,122245,普通,1,2706266,0
92,3034006333901,3034006458529,124628,普通,1,2711103,0
93,3034006347874,3034006459783,111909,普通,1,2712357,0
90,3034006337798,3034006460663,122864,普通,1,2713237,0
96,3034006460078,3034006468601,8522,普通,1,2721175,0
94,3034006453920,3034006540202,86282,普通,1,2792776,0
97,3034006460951,3034006543249,82297,普通,1,2795822,0
98,3034006468836,3034006549168,80332,普通,1,2801741,0
95,3034006458819,3034006549270,90451,普通,1,2801844,0
101,3034006549702,3034006657413,107710,普通,1,2909987,0
100,3034006543781,3034006666521,122739,普通,1,2919094,0
249,3034013883884,3034013883884,0,普通,2,10136458,1

=== 执行统计 ===
第一笔交易开始时间: 3034003747426 微秒
最后一笔交易完成时间: 3034006666521 微秒
前100笔交易总执行时间(包含跨链延迟): 2919094 微秒
前100笔交易总执行时间(不含跨链延迟): 2919094 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型,区块ID,总延迟(微秒),是否中止
1,3034005734332,3034005744126,9793,普通,1,9793,0
3,3034005734794,3034005751191,16397,普通,1,16858,0
2,3034005734365,3034005751763,17397,普通,1,17430,0
4,3034005734916,3034005752902,17985,普通,1,18569,0
5,3034005744457,3034005898014,153556,普通,1,163681,0
8,3034005753120,3034005903716,150595,普通,1,169383,0
6,3034005751452,3034005903954,152502,普通,1,169621,0
7,3034005752018,3034005909560,157541,普通,1,175227,0
9,3034005898477,3034005911999,13521,普通,1,177666,0
10,3034005903984,3034006016631,112646,普通,1,282298,0
11,3034005904271,3034006021113,116841,普通,1,286780,0
12,3034005909808,3034006025521,115713,普通,1,291188,0
13,3034006011687,3034006025722,14035,普通,1,291390,0
14,3034006016870,3034006027343,10473,普通,1,293010,0
18,3034006027570,3034006107078,79507,普通,1,372745,0
19,3034006107340,3034006111227,3887,普通,1,376894,0
17,3034006026002,3034006118928,92925,普通,1,384595,0
16,3034006025799,3034006198620,172821,普通,1,464287,0
20,3034006111543,3034006202301,90757,普通,1,467968,0
22,3034006199364,3034006212295,12930,普通,1,477962,0
23,3034006202541,3034006213882,11341,普通,1,479549,0
21,3034006119575,3034006317748,198172,普通,1,583415,0
25,3034006214126,3034006318386,104260,普通,1,584053,0
27,3034006318622,3034006325166,6543,普通,1,590833,0
28,3034006325540,3034006442427,116887,普通,1,708094,0
15,3034006308802,3034006443844,135042,普通,1,709511,0
26,3034006318202,3034006444953,126751,普通,1,710620,0
24,3034006317560,3034006452359,134798,普通,1,718026,0
29,3034006451388,3034006542939,91550,普通,1,808606,0
30,3034006444114,3034006544140,100026,普通,1,809807,0
32,3034006452828,3034006546083,93255,普通,1,811750,0
33,3034006543190,3034006660229,117038,普通,1,925896,0
35,3034006546446,3034006660918,114471,普通,1,926585,0
31,3034006543088,3034006669708,126619,普通,1,935375,0
37,3034006661289,3034006739717,78428,普通,1,1005384,0
36,3034006660475,3034006741112,80636,普通,1,1006779,0
34,3034006664972,3034006749481,84508,普通,1,1015148,0
40,3034006741351,3034006750967,9615,普通,1,1016634,0
38,3034006750689,3034006875656,124967,普通,1,1141323,0
42,3034006751195,3034006880362,129166,普通,1,1146029,0
39,3034006740008,3034006883158,143149,普通,1,1148825,0
41,3034006750028,3034006885497,135468,普通,1,1151164,0
43,3034006875962,3034006978287,102325,普通,1,1243954,0
46,3034006885937,3034006981960,96023,普通,1,1247627,0
47,3034006978580,3034006987644,9064,普通,1,1253311,0
49,3034006988075,3034007089433,101358,普通,1,1355100,0
45,3034006883409,3034007090621,207212,普通,1,1356288,0
44,3034006977998,3034007097753,119755,普通,1,1363421,0
50,3034007100896,3034007103184,2288,普通,1,1368851,0
53,3034007103453,3034007183843,80389,普通,1,1449510,0
52,3034007178001,3034007186221,8220,普通,1,1451888,0
51,3034007178798,3034007313798,134999,普通,1,1579465,0
