zipf = 0.8 ctx = 0.0-----------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型
10,2985120957244,2985121041534,84289,普通
11,2985120957239,2985121047384,90144,普通
12,2985120957346,2985121047389,90043,普通
13,2985121034414,2985121047392,12978,普通
14,2985121041860,2985121145409,103548,普通
15,2985121047828,2985121160860,113031,普通
16,2985121047867,2985121244039,196171,普通
17,2985121047846,2985121248015,200169,普通
18,2985121145576,2985121248019,102442,普通
19,2985121160988,2985121248023,87034,普通
20,2985121244225,2985121248026,3801,普通
21,2985121248327,2985121359512,111184,普通
22,2985121248338,2985121359517,111178,普通
23,2985121248735,2985121368991,120256,普通
24,2985121248812,2985121368996,120184,普通
25,2985121360030,2985121491428,131398,普通
26,2985121360141,2985121491496,131355,普通
27,2985121369668,2985121491510,121841,普通
28,2985121369591,2985121491914,122322,普通
29,2985121491620,2985121497294,5674,普通
30,2985121492121,2985121577350,85228,普通
31,2985121493433,2985121578372,84939,普通
32,2985121494708,2985121584103,89394,普通
33,2985121500415,2985121584107,83691,普通
34,2985121577555,2985121587554,9998,普通
35,2985121579312,2985121737003,157691,普通
36,2985121584570,2985121737958,153388,普通
37,2985121584569,2985121737963,153393,普通
38,2985121587891,2985121737976,150085,普通
39,2985121737893,2985121814091,76198,普通
40,2985121738673,2985121831883,93209,普通
41,2985121738778,2985121831888,93109,普通
42,2985121738807,2985121831891,93084,普通
43,2985121814274,2985121831894,17620,普通
44,2985121832182,2985121933942,101760,普通
45,2985121832828,2985121933947,101118,普通
46,2985121833085,2985121941167,108082,普通
47,2985121833243,2985121941172,107928,普通
48,2985121934307,2985122008939,74631,普通
49,2985121934364,2985122022708,88343,普通
50,2985122008667,2985122022713,14045,普通
51,2985122009278,2985122025135,15856,普通
52,2985122009621,2985122025138,15516,普通
53,2985122022978,2985122145839,122860,普通
54,2985122023379,2985122145844,122465,普通
55,2985122025675,2985122145847,120172,普通
56,2985122026130,2985122145850,119720,普通
57,2985122146343,2985122245658,99314,普通
58,2985122146204,2985122245662,99458,普通
59,2985122146372,2985122245666,99294,普通
60,2985122146490,2985122245669,99179,普通
61,2985122246168,2985122344668,98500,普通
62,2985122246210,2985122344673,98463,普通
63,2985122246234,2985122344676,98442,普通
64,2985122246278,2985122436670,190391,普通
65,2985122345319,2985122445942,100622,普通
66,2985122345087,2985122445949,100861,普通
67,2985122345444,2985122445952,100507,普通
68,2985122437220,2985122445955,8734,普通
69,2985122446401,2985122524259,77858,普通
70,2985122446325,2985122524264,77938,普通
71,2985122446495,2985122528225,81729,普通
72,2985122446439,2985122528230,81791,普通
73,2985122524698,2985122630684,105986,普通
74,2985122524745,2985122642871,118126,普通
75,2985122529151,2985122642877,113726,普通
76,2985122529556,2985122642881,113324,普通
77,2985122630819,2985122644766,13946,普通
78,2985122643206,2985122727563,84356,普通
79,2985122643301,2985122731178,87876,普通
80,2985122643954,2985122731183,87229,普通
81,2985122645500,2985122731186,85685,普通
82,2985122728110,2985122734761,6651,普通
83,2985122731687,2985122842373,110686,普通
84,2985122731858,2985122940255,208396,普通
85,2985122732469,2985122940259,207790,普通
86,2985122825851,2985122945232,119380,普通
87,2985122842831,2985123052508,209677,普通
88,2985122940825,2985123055074,114248,普通
89,2985122940899,2985123061113,120213,普通
90,2985122945461,2985123061581,116119,普通
91,2985123052964,2985123061585,8621,普通
92,2985123058528,2985123170084,111555,普通
93,2985123061302,2985123178231,116928,普通
94,2985123067423,2985123178235,110812,普通
95,2985123065943,2985123178571,112627,普通
96,2985123170233,2985123179178,8945,普通
97,2985123178469,2985123272928,94459,普通
98,2985123179069,2985123411901,232832,普通
99,2985123178996,2985123411907,232910,普通
100,2985123179645,2985123411910,232264,普通

