交易ID,开始时间,完成时间,延迟(微秒)
242,614612202417,614612296694,94277,普通
243,614612290950,614612298838,7887,普通
244,614612290802,614612347535,56733,普通
245,614612291299,614612347571,56271,普通
246,614612297332,614612352742,55410,普通
247,614612299843,614612352773,52930,普通
248,614612347918,614612361646,13727,普通
249,614612348111,614612361792,13680,普通
250,614612353489,614612432115,78625,普通
251,614612353472,614612435630,82158,普通
252,614612362413,614612438806,76392,普通
253,614612362534,614612526718,164183,普通
254,614612433325,614612529379,96054,普通
255,614612435867,614612530093,94225,普通
256,614612439399,614612530114,90714,普通
257,614612527074,614612630182,103108,普通
258,614612529625,614612635095,105469,普通
259,614612531032,614612635174,104142,普通
260,614612530560,614612635197,104637,普通
261,614612630593,614612743455,112861,普通
262,614612635606,614612743487,107880,普通
263,614612635714,614612743507,107793,普通
264,614612635878,614612752039,116160,普通
265,614612744160,614612842982,98822,普通
266,614612744175,614612843016,98841,普通
267,614612744222,614612843038,98816,普通
268,614612752460,614612852249,99788,普通
269,614612843428,614612905928,62499,普通
270,614612843472,614612905961,62488,普通
271,614612843518,614612905984,62466,普通
272,614612852972,614612905999,53027,普通
273,614612906390,614613000185,93795,普通
274,614612906439,614613000216,93777,普通
275,614612906670,614613000244,93574,普通
276,614612906625,614613000267,93641,普通
277,614613000582,614613084630,84047,普通
278,614613000606,614613084669,84062,普通
279,614613000702,614613084988,84286,普通
280,614613000787,614613091074,90286,普通
281,614613085175,614613170344,85169,普通
282,614613085373,614613170463,85090,普通
283,614613085416,614613170490,85073,普通
284,614613091342,614613171088,79745,普通
285,614613170953,614613261812,90859,普通
286,614613170961,614613262763,91802,普通
287,614613171193,614613263063,91869,普通
288,614613171335,614613263083,91748,普通
289,614613262856,614613320787,57930,普通
290,614613263096,614613322012,58916,普通
291,614613263497,614613322038,58540,普通
292,614613263459,614613322053,58593,普通
293,614613321089,614613416160,95070,普通
294,614613322496,614613421878,99382,普通
295,614613322649,614613512455,189805,普通
296,614613322719,614613512487,189768,普通
297,614613416630,614613514820,98190,普通
298,614613422632,614613514845,92213,普通
299,614613512698,614613519014,6315,普通
300,614613513223,614613519046,5822,普通
